Company,InvoiceDate,Year,Region,Country,CustomerID,InvoiceID,OrderID,ProductCategory,ProductID,SKU,Quantity,UnitPrice,UnitCost,DiscountPct,Revenue,Cost,Profit,TaxRate,TaxAmount,ShippingCost,ShipmentDelayDays,PaymentMethod,PaymentStatus,ReturnFlag,ReturnReason,CustomerSatisfaction,LoyaltyTier,ProfitMarginPct,DaysToPayEstimate
BetaWorks,2019-04-23,2019,West,USA,CUST00798,BET-100308,PRA5A5PMLQ,Software,PID-8128-304,SKU-412525,6,111.75,93.9,0.0,670.5,563.4,107.1,0.18,120.69,15.21,10,PayPal,Paid,0,,7.9,Bronze,15.97,14
BetaWorks,2023-11-17,2023,North,USA,CUST00238,BET-100469,L8HPAZAUR4,Healthcare,PID-7674-424,SKU-836604,4,103.06,75.53,0.05,391.63,302.12,89.51,0.18,70.49,11.27,-2,Credit Card,Pending,0,,5.9,Silver,22.86,97
BetaWorks,2019-11-02,2019,North,USA,CUST01222,BET-101271,PK9WFUCWEE,Electronics,PID-2740-229,SKU-544251,4,201.16,93.94,0.0,804.64,375.76,428.88,0.18,144.84,16.06,1,Invoice,Paid,0,,6.2,Bronze,53.3,9
BetaWorks,2023-09-27,2023,South,USA,CUST01211,BET-100624,HF1KM8B543,Furniture,PID-6997-142,SKU-798063,2,562.48,354.5,0.0,1124.96,709.0,415.96,0.18,202.49,10.52,-2,Bank Transfer,Overdue,0,,8.3,Bronze,36.98,118
BetaWorks,2022-07-26,2022,Central,USA,CUST00218,BET-100230,MRQP94NA46,Automotive,PID-9817-478,SKU-878097,3,1328.15,878.59,0.0,3984.45,2635.77,1348.68,0.18,717.2,0.0,3,Bank Transfer,Paid,1,Late delivery,,Gold,33.85,10
BetaWorks,2022-09-12,2022,West,USA,CUST00926,BET-100694,7JUGKZESFK,Accessories,PID-5585-700,SKU-951688,4,39.78,21.71,0.0,159.12,86.84,72.28,0.18,28.64,22.07,-2,PayPal,Paid,0,,7.0,Silver,45.42,1
BetaWorks,2023-10-01,2023,East,USA,CUST01438,BET-100236,QI80KA3R2D,Office Supplies,PID-9397-757,SKU-899686,4,18.43,15.13,0.1,66.35,60.52,5.83,0.18,11.94,14.18,3,Invoice,Paid,0,,6.9,Bronze,8.79,19
BetaWorks,2019-04-23,2019,Central,USA,CUST00657,BET-100264,GQTCD21W2K,Healthcare,PID-7674-365,SKU-481019,2,84.52,63.37,0.0,169.04,126.74,42.3,0.18,30.43,22.66,4,Credit Card,Paid,0,,6.0,Silver,25.02,2
BetaWorks,2020-10-04,2020,North,USA,CUST00619,BET-100180,23AFPYBUXH,Healthcare,PID-7674-733,SKU-336656,5,59.13,50.22,0.15,251.3,251.1,0.2,0.18,45.23,13.02,4,Invoice,Paid,0,,9.2,Gold,0.08,20
BetaWorks,2020-03-12,2020,West,USA,CUST01260,BET-100448,D3OKANIP3M,Software,PID-8128-166,SKU-836963,5,126.99,105.47,0.0,634.95,527.35,107.6,0.18,114.29,17.6,3,Cash,Pending,0,,5.6,Silver,16.95,77
BetaWorks,2023-12-15,2023,West,USA,CUST01289,BET-100186,WHIFYEMF5N,Electronics,PID-2740-751,SKU-641921,3,278.49,227.84,0.0,835.47,683.52,151.95,0.18,150.38,8.11,2,PayPal,Paid,0,,8.9,Bronze,18.19,9
BetaWorks,2022-12-14,2022,West,USA,CUST00024,BET-100631,Y4L6SOE8JO,Electronics,PID-2740-708,SKU-684583,2,292.78,155.31,0.0,585.56,310.62,274.94,0.18,105.4,3.18,8,Invoice,Paid,0,,8.0,Gold,46.95,29
BetaWorks,2023-01-16,2023,East,USA,CUST00287,BET-100126,3DNREHU2M6,Hardware,PID-3240-490,SKU-742085,3,157.87,73.92,0.0,473.61,221.76,251.85,0.18,85.25,21.77,11,PayPal,Paid,0,,7.4,Silver,53.18,3
BetaWorks,2020-06-21,2020,International,UK,CUST00471,BET-100626,9V37PRDDTB,Electronics,PID-2740-758,SKU-166555,1,163.01,118.99,0.0,163.01,118.99,44.02,0.18,29.34,8.65,14,Credit Card,Paid,0,,7.9,Silver,27.0,8
BetaWorks,2022-05-01,2022,North,USA,CUST00281,BET-101240,T3U6OKGK8M,Automotive,PID-9817-809,SKU-304429,3,1738.61,1357.24,0.2,4172.66,4071.72,100.94,0.18,751.08,25.93,7,Cash,Pending,0,,7.3,Bronze,2.42,58
BetaWorks,2020-10-14,2020,West,USA,CUST00384,BET-101313,0S0U50AP1W,Healthcare,PID-7674-469,SKU-631250,5,96.76,49.23,0.0,483.8,246.15,237.65,0.18,87.08,6.95,-2,Cash,Paid,0,,4.6,Gold,49.12,29
BetaWorks,2019-11-23,2019,East,USA,CUST00115,BET-101300,KXX2XNUWQT,Hardware,PID-3240-915,SKU-333529,5,88.82,72.57,0.1,399.69,362.85,36.84,0.18,71.94,17.61,0,Invoice,Pending,0,,8.6,Gold,9.22,63
BetaWorks,2020-03-19,2020,South,USA,CUST00852,BET-100433,NTYADJC88K,Automotive,PID-9817-428,SKU-124929,1,1408.32,967.31,0.5,704.16,967.31,-263.15,0.18,126.75,9.51,8,Credit Card,Paid,0,,9.3,Bronze,-37.37,16
BetaWorks,2019-05-16,2019,East,USA,CUST00081,BET-100596,IDSFFQ0NEZ,Services,PID-8674-304,SKU-605610,3,359.63,305.46,0.15,917.06,916.38,0.68,0.18,165.07,19.83,0,PayPal,Paid,0,,7.2,Bronze,0.07,24
BetaWorks,2020-09-23,2020,North,USA,CUST01260,BET-100347,RJ09WEEW0O,Hardware,PID-3240-813,SKU-993980,3,184.5,134.33,0.5,276.75,402.99,-126.24,0.18,49.82,10.58,12,PayPal,Paid,0,,6.9,Bronze,-45.62,5
BetaWorks,2022-11-24,2022,International,DE,CUST00959,BET-100937,YNOO4O969U,Consumables,PID-9689-530,SKU-882519,8,5.51,3.1,0.0,44.08,24.8,19.28,0.18,7.93,11.69,4,Credit Card,Paid,0,,5.3,Silver,43.74,3
BetaWorks,2021-05-24,2021,Central,USA,CUST00903,BET-100613,5028LSUXOM,Software,PID-8128-189,SKU-679994,4,123.37,81.55,0.0,493.48,326.2,167.28,0.18,88.83,22.58,-2,Invoice,Paid,0,,7.2,Silver,33.9,26
BetaWorks,2022-06-22,2022,International,DE,CUST00436,BET-100967,W9TTKYXADH,Electronics,PID-2740-344,SKU-268904,4,238.53,110.16,0.05,906.41,440.64,465.77,0.18,163.15,14.58,0,Invoice,Paid,0,,10.0,Platinum,51.39,24
BetaWorks,2023-08-30,2023,South,USA,CUST01309,BET-100908,EGT5JZTFBQ,Healthcare,PID-7674-504,SKU-899916,6,76.14,50.71,0.0,456.84,304.26,152.58,0.18,82.23,14.76,11,Bank Transfer,Paid,0,,7.5,Bronze,33.4,19
BetaWorks,2024-10-12,2024,East,USA,CUST00001,BET-100620,GM4GSD5BGK,Consumables,PID-9689-462,SKU-997738,1,5.74,3.19,0.0,5.74,3.19,2.55,0.18,1.03,10.43,-2,Credit Card,Pending,0,,4.1,Silver,44.43,88
BetaWorks,2023-08-24,2023,West,USA,CUST00243,BET-100573,L745CSF0AL,Healthcare,PID-7674-447,SKU-843731,1,57.35,44.68,0.1,51.62,44.68,6.94,0.18,9.29,15.61,0,Credit Card,Paid,0,,7.4,Bronze,13.44,13
BetaWorks,2022-05-02,2022,East,USA,CUST00948,BET-100494,5LD8QU30EX,Accessories,PID-5585-451,SKU-398644,3,37.73,31.67,0.1,101.87,95.01,6.86,0.18,18.34,7.58,7,Cash,Paid,0,,7.2,Bronze,6.73,11
BetaWorks,2023-11-11,2023,East,USA,CUST00616,BET-100791,CJTQEAEQ2I,Office Supplies,PID-9397-260,SKU-442149,6,16.3,8.92,0.1,88.02,53.52,34.5,0.18,15.84,11.16,7,PayPal,Pending,0,,4.2,Silver,39.2,68
BetaWorks,2023-08-02,2023,South,USA,CUST01310,BET-100337,3LHXOAU51O,Services,PID-8674-741,SKU-654403,5,334.76,178.65,0.0,1673.8,893.25,780.55,0.18,301.28,12.51,3,Credit Card,Paid,0,,10.0,Bronze,46.63,6
BetaWorks,2023-06-10,2023,South,USA,CUST00563,BET-101147,FI4X65ECC7,Hardware,PID-3240-367,SKU-519777,5,153.99,118.67,0.0,769.95,593.35,176.6,0.18,138.59,32.61,2,Invoice,Paid,0,,4.1,Silver,22.94,20
BetaWorks,2021-02-22,2021,South,USA,CUST00640,BET-100769,ZM399ARAU7,Consumables,PID-9689-404,SKU-693853,3,3.67,2.15,0.15,9.36,6.45,2.91,0.18,1.68,4.34,-2,PayPal,Paid,0,,6.4,Bronze,31.09,21
BetaWorks,2022-09-07,2022,South,USA,CUST01002,BET-100852,WHPMPCEM8M,Software,PID-8128-417,SKU-684493,6,81.53,64.21,0.0,489.18,385.26,103.92,0.18,88.05,15.02,0,PayPal,Paid,0,,3.2,Gold,21.24,17
BetaWorks,2023-07-10,2023,International,IN,CUST00803,BET-101297,Y9QJS7I58U,Healthcare,PID-7674-550,SKU-167950,2,75.24,56.86,0.2,120.38,113.72,6.66,0.18,21.67,14.9,5,Invoice,Pending,0,,9.2,Platinum,5.53,110
BetaWorks,2024-09-30,2024,South,USA,CUST00241,BET-101326,E1B34RQVZY,Accessories,PID-5585-333,SKU-209887,3,51.88,23.99,0.1,140.08,71.97,68.11,0.18,25.21,17.69,3,Invoice,Paid,0,,7.1,Silver,48.62,4
BetaWorks,2021-07-02,2021,Central,USA,CUST01428,BET-100980,514GIU5DSJ,Office Supplies,PID-9397-476,SKU-391718,3,9.12,6.91,0.15,23.26,20.73,2.53,0.18,4.19,6.01,2,Credit Card,Paid,0,,6.9,Bronze,10.88,4
BetaWorks,2023-07-22,2023,Central,USA,CUST00050,BET-100735,72YSQRRBJV,Office Supplies,PID-9397-237,SKU-831550,2,14.15,9.25,0.3,19.81,18.5,1.31,0.18,3.57,11.14,2,Cash,Paid,0,,4.5,Gold,6.61,2
BetaWorks,2023-04-13,2023,West,USA,CUST00170,BET-100440,FOLT34KFF2,Software,PID-8128-365,SKU-827795,5,148.78,121.72,0.15,632.31,608.6,23.71,0.18,113.82,3.22,-2,Cash,Pending,0,,7.3,Bronze,3.75,52
BetaWorks,2021-06-29,2021,North,USA,CUST00498,BET-100527,3OSH3QZXY4,Office Supplies,PID-9397-108,SKU-896246,5,12.58,6.92,0.2,50.32,34.6,15.72,0.18,9.06,13.01,3,Cash,Paid,0,,4.1,Silver,31.24,10
BetaWorks,2019-05-04,2019,International,UK,CUST00524,BET-101057,SOOCGDRVD5,Furniture,PID-6997-885,SKU-891418,6,431.81,307.26,0.0,2590.86,1843.56,747.3,0.18,466.35,15.21,8,Bank Transfer,Paid,0,,7.3,Gold,28.84,28
BetaWorks,2021-07-09,2021,East,USA,CUST00740,BET-100784,VL0OS3X23I,Electronics,PID-2740-216,SKU-664711,3,262.34,140.63,0.0,787.02,421.89,365.13,0.18,141.66,13.43,5,Credit Card,Paid,0,,,Bronze,46.39,29
BetaWorks,2022-09-25,2022,South,USA,CUST00383,BET-101026,I1PU7XNM3E,Services,PID-8674-212,SKU-430619,6,307.3,220.84,0.0,1843.8,1325.04,518.76,0.18,331.88,5.89,6,Credit Card,Paid,0,,,Bronze,28.14,17
BetaWorks,2020-10-04,2020,North,USA,CUST01364,BET-101249,VQVAEUTJ0W,Accessories,PID-5585-970,SKU-462540,4,31.65,14.7,0.0,126.6,58.8,67.8,0.18,22.79,3.87,4,Invoice,Pending,0,,6.9,Gold,53.55,102
BetaWorks,2019-03-29,2019,East,USA,CUST00516,BET-100842,TMRNZMUDCG,Hardware,PID-3240-723,SKU-579680,4,178.87,140.2,0.0,715.48,560.8,154.68,0.18,128.79,7.47,-2,Invoice,Paid,0,,10.0,Bronze,21.62,14
BetaWorks,2021-07-21,2021,South,USA,CUST01087,BET-100970,LPBS1GYAPN,Electronics,PID-2740-600,SKU-655603,6,264.56,148.39,0.0,1587.36,890.34,697.02,0.18,285.72,13.98,7,PayPal,Overdue,0,,4.2,Bronze,43.91,70
BetaWorks,2021-11-07,2021,International,DE,CUST01106,BET-100001,V08KTRPW3H,Consumables,PID-9689-313,SKU-345868,7,3.14,1.67,0.1,19.78,11.69,8.09,0.18,3.56,20.11,6,Credit Card,Paid,0,,8.1,Bronze,40.9,22
BetaWorks,2023-03-25,2023,West,USA,CUST00253,BET-100123,09O8A906K3,Services,PID-8674-132,SKU-240957,3,299.74,233.07,0.1,809.3,699.21,110.09,0.18,145.67,15.54,-2,Invoice,Paid,0,,7.0,Bronze,13.6,15
BetaWorks,2021-02-12,2021,North,USA,CUST01216,BET-100591,Q3R1SS07ZP,Services,PID-8674-926,SKU-708216,7,328.91,278.96,0.5,1151.19,1952.72,-801.53,0.18,207.21,10.11,6,Credit Card,Paid,0,,7.4,Gold,-69.63,16
BetaWorks,2024-03-01,2024,East,USA,CUST00189,BET-101158,KGXRFLRZ5G,Furniture,PID-6997-903,SKU-206148,2,644.41,368.6,0.0,1288.82,737.2,551.62,0.18,231.99,11.25,-2,Bank Transfer,Paid,0,,6.1,Silver,42.8,10
BetaWorks,2020-04-29,2020,South,USA,CUST00005,BET-100903,Q3J9X2HK5G,Consumables,PID-9689-803,SKU-346004,5,3.58,1.94,0.0,17.9,9.7,8.2,0.18,3.22,4.75,3,Credit Card,Paid,0,,8.7,Gold,45.81,24
BetaWorks,2024-12-20,2024,South,USA,CUST01082,BET-100704,K7S1OQO0J4,Automotive,PID-9817-238,SKU-875053,2,2090.72,1450.94,0.0,4181.44,2901.88,1279.56,0.18,752.66,13.28,6,Cash,Paid,0,,7.4,Gold,30.6,18
BetaWorks,2019-07-31,2019,International,DE,CUST01477,BET-100365,21PN3OAG4G,Services,PID-8674-785,SKU-535243,2,295.91,201.02,0.0,591.82,402.04,189.78,0.18,106.53,11.83,-2,Bank Transfer,Paid,0,,5.8,Platinum,32.07,15
BetaWorks,2024-10-23,2024,International,AU,CUST00491,BET-101243,XN1LVZFAA2,Healthcare,PID-7674-351,SKU-912418,2,124.86,64.93,0.15,212.26,129.86,82.4,0.18,38.21,24.9,2,Credit Card,Pending,0,,4.7,Silver,38.82,95
BetaWorks,2021-05-21,2021,South,USA,CUST01159,BET-100075,KB57L1376Q,Office Supplies,PID-9397-732,SKU-722580,3,13.4,6.88,0.0,40.2,20.64,19.56,0.18,7.24,12.3,11,PayPal,Pending,0,,7.7,Bronze,48.66,100
BetaWorks,2022-09-01,2022,North,USA,CUST00955,BET-100644,Y1TL9JNTSS,Furniture,PID-6997-583,SKU-266553,4,594.75,302.89,0.05,2260.05,1211.56,1048.49,0.18,406.81,4.17,5,Invoice,Paid,0,,5.6,Bronze,46.39,14
BetaWorks,2019-09-15,2019,Central,USA,CUST00703,BET-100667,R7S9R37V38,Electronics,PID-2740-299,SKU-996945,2,268.89,207.34,0.0,537.78,414.68,123.1,0.18,96.8,8.28,-2,Invoice,Paid,0,,5.3,Silver,22.89,9
BetaWorks,2020-09-20,2020,South,USA,CUST00822,BET-100402,C0TSDWAN0U,Software,PID-8128-608,SKU-738901,3,104.58,57.84,0.0,313.74,173.52,140.22,0.18,56.47,10.05,1,PayPal,Paid,0,,6.5,Bronze,44.69,2
BetaWorks,2021-06-09,2021,International,AU,CUST00934,BET-101276,RNBANXAOEY,Services,PID-8674-289,SKU-565342,2,149.05,71.12,0.2,238.48,142.24,96.24,0.18,42.93,3.58,1,Credit Card,Overdue,0,,6.3,Gold,40.36,94
BetaWorks,2020-06-16,2020,East,USA,CUST01397,BET-100499,0I187YOHQL,Healthcare,PID-7674-787,SKU-845469,3,105.89,70.9,0.1,285.9,212.7,73.2,0.18,51.46,8.79,2,Credit Card,Paid,0,,3.8,Silver,25.6,18
BetaWorks,2019-08-28,2019,West,USA,CUST00023,BET-100880,RTGBJBI9ZA,Healthcare,PID-7674-990,SKU-671805,4,78.57,62.99,0.0,314.28,251.96,62.32,0.18,56.57,21.53,6,Bank Transfer,Paid,0,,5.6,Platinum,19.83,21
BetaWorks,2022-08-10,2022,West,USA,CUST00751,BET-101017,6QU9Y08RCC,Accessories,PID-5585-817,SKU-438285,4,43.56,28.88,0.0,174.24,115.52,58.72,0.18,31.36,5.76,-2,Invoice,Paid,0,,10.0,Platinum,33.7,28
BetaWorks,2019-04-08,2019,North,USA,CUST01274,BET-100168,6ZLKW5E11D,Accessories,PID-5585-771,SKU-375394,2,38.44,17.48,0.0,76.88,34.96,41.92,0.18,13.84,9.74,5,Cash,Paid,0,,6.7,Bronze,54.53,23
BetaWorks,2024-10-02,2024,North,USA,CUST01100,BET-100370,57JYF8JSHL,Accessories,PID-5585-161,SKU-202179,3,,13.79,0.5,,41.37,,0.18,,,2,Cash,Paid,0,,,Silver,,16
BetaWorks,2024-04-26,2024,South,USA,CUST01421,BET-101070,7N17LZG3RB,Furniture,PID-6997-230,SKU-701757,3,468.41,371.04,0.05,1334.97,1113.12,221.85,0.18,240.29,5.96,1,Invoice,Paid,0,,5.2,Silver,16.62,23
BetaWorks,2020-05-18,2020,Central,USA,CUST01359,BET-100699,H27R81OB3W,Hardware,PID-3240-876,SKU-108156,2,198.43,159.86,0.0,396.86,319.72,77.14,0.18,71.43,20.23,4,Bank Transfer,Paid,0,,9.3,Bronze,19.44,0
BetaWorks,2022-03-13,2022,East,USA,CUST01014,BET-100288,GTZ6QL3E49,Furniture,PID-6997-800,SKU-764207,3,358.58,239.8,0.0,1075.74,719.4,356.34,0.18,193.63,26.82,5,Cash,Paid,0,,,Bronze,33.13,3
BetaWorks,2020-11-22,2020,North,USA,CUST00345,BET-100996,JOF9USKB68,Consumables,PID-9689-795,SKU-980580,4,5.47,3.48,0.0,21.88,13.92,7.96,0.18,3.94,12.95,-2,PayPal,Paid,0,,,Bronze,36.38,19
BetaWorks,2020-04-20,2020,South,USA,CUST01445,BET-100155,UL4AE6YA8S,Software,PID-8128-922,SKU-787031,3,163.98,109.96,0.0,491.94,329.88,162.06,0.18,88.55,9.32,-2,Credit Card,Paid,0,,10.0,Bronze,32.94,21
BetaWorks,2021-01-21,2021,North,USA,CUST00381,BET-100678,BOTM1CD4ZY,Hardware,PID-3240-222,SKU-267688,3,109.54,79.28,0.0,328.62,237.84,90.78,0.18,59.15,14.2,0,PayPal,Paid,0,,8.8,Gold,27.62,29
BetaWorks,2019-07-28,2019,International,AU,CUST00420,BET-100941,U3G130PEAE,Accessories,PID-5585-594,SKU-395244,2,35.45,19.13,0.0,70.9,38.26,32.64,0.18,12.76,14.2,10,PayPal,Paid,0,,3.3,Gold,46.04,9
BetaWorks,2020-05-27,2020,Central,USA,CUST00070,BET-100047,OEARNWAWO7,Automotive,PID-9817-540,SKU-699650,4,1491.51,936.11,0.0,5966.04,3744.44,2221.6,0.18,1073.89,10.63,12,Cash,Paid,0,,6.6,Silver,37.24,13
BetaWorks,2023-04-09,2023,Central,USA,CUST01304,BET-100909,SJBCCD4EOX,Automotive,PID-9817-328,SKU-983098,7,1674.46,854.98,0.2,9376.98,5984.86,3392.12,0.18,1687.86,3.39,4,PayPal,Paid,0,,5.7,Silver,36.17,15
BetaWorks,2019-07-04,2019,East,USA,CUST00636,BET-100617,WNAK2HOPQ0,Software,PID-8128-696,SKU-228477,4,150.94,92.94,0.05,573.57,371.76,201.81,0.18,103.24,9.18,6,PayPal,Paid,0,,5.7,Bronze,35.18,19
BetaWorks,2021-04-18,2021,West,USA,CUST01376,BET-100716,YBKHTAB92W,Office Supplies,PID-9397-179,SKU-872463,3,14.24,9.62,0.05,40.58,28.86,11.72,0.18,7.3,10.51,7,Invoice,Paid,0,,5.7,Bronze,28.88,6
BetaWorks,2022-11-02,2022,International,AU,CUST00869,BET-100860,75KNORTLQB,Healthcare,PID-7674-396,SKU-387538,1,82.3,37.29,0.2,65.84,37.29,28.55,0.18,11.85,0.0,2,PayPal,Paid,0,,9.8,Silver,43.36,19
BetaWorks,2024-04-08,2024,International,UK,CUST00143,BET-100477,YFWP5WLF0L,Accessories,PID-5585-439,SKU-195813,5,51.79,24.3,0.1,233.06,121.5,111.56,0.18,41.95,21.32,-2,PayPal,Paid,0,,5.6,Bronze,47.87,29
